,origin,destination,treq,tdep,ttrav,tarr,tdrop,dist,pax_id
2429,497375764,262504277,2024-03-27 07:45:01,,0 days 02:53:28,2024-03-27 10:38:29,,10408,2429
1534,497390972,2378475132,2024-03-27 07:45:01,,0 days 02:51:14,2024-03-27 10:36:15,,10274,1534
2353,295825454,560401386,2024-03-27 07:45:02,,0 days 03:04:47,2024-03-27 10:49:49,,11087,2353
3269,2019014197,325632880,2024-03-27 07:45:02,,0 days 02:09:07,2024-03-27 09:54:09,,7747,3269
3205,2905596372,261998900,2024-03-27 07:45:03,,0 days 02:24:34,2024-03-27 10:09:37,,8674,3205
1009,967785602,272482346,2024-03-27 07:45:04,,0 days 02:03:41,2024-03-27 09:48:45,,7421,1009
3189,4311645873,207435062,2024-03-27 07:45:04,,0 days 03:02:00,2024-03-27 10:47:04,,10920,3189
2536,1349572356,278069367,2024-03-27 07:45:04,,0 days 02:01:06,2024-03-27 09:46:10,,7266,2536
2430,6221675169,206376681,2024-03-27 07:45:05,,0 days 02:06:22,2024-03-27 09:51:27,,7582,2430
3195,1349565614,2509405142,2024-03-27 07:45:05,,0 days 02:18:18,2024-03-27 10:03:23,,8298,3195
1509,295825429,9445396410,2024-03-27 07:45:06,,0 days 02:38:56,2024-03-27 10:24:02,,9536,1509
810,6771415721,243362262,2024-03-27 07:45:06,,0 days 02:28:36,2024-03-27 10:13:42,,8916,810
1969,295825454,288929703,2024-03-27 07:45:07,,0 days 03:07:06,2024-03-27 10:52:13,,11226,1969
3566,295825429,269492247,2024-03-27 07:45:07,,0 days 03:42:24,2024-03-27 11:27:31,,13344,3566
2557,295825429,4955501316,2024-03-27 07:45:07,,0 days 02:15:54,2024-03-27 10:01:01,,8154,2557
1291,967785623,355581846,2024-03-27 07:45:08,,0 days 03:01:09,2024-03-27 10:46:17,,10869,1291
3665,967785571,3024563471,2024-03-27 07:45:09,,0 days 02:33:35,2024-03-27 10:18:44,,9215,3665
1623,1967678674,261677475,2024-03-27 07:45:10,,0 days 02:36:20,2024-03-27 10:21:30,,9380,1623
1495,498122933,9445396410,2024-03-27 07:45:10,,0 days 02:32:00,2024-03-27 10:17:10,,9120,1495
2224,295825454,206376813,2024-03-27 07:45:10,,0 days 02:26:09,2024-03-27 10:11:19,,8769,2224
2419,4786826363,2979980104,2024-03-27 07:45:11,,0 days 02:26:36,2024-03-27 10:11:47,,8796,2419
