,origin,destination,treq,tdep,ttrav,tarr,tdrop,dist,pax_id
998,1273451735,275652497,2024-03-28 07:45:01,,0 days 03:10:17,2024-03-28 10:55:18,,11417,998
1106,1273452296,278196753,2024-03-28 07:45:02,,0 days 03:08:43,2024-03-28 10:53:45,,11323,1106
948,2459675736,288604040,2024-03-28 07:45:05,,0 days 03:27:09,2024-03-28 11:12:14,,12429,948
1195,8017990086,1877473310,2024-03-28 07:45:05,,0 days 04:17:00,2024-03-28 12:02:05,,15420,1195
501,1349549448,6643622512,2024-03-28 07:45:06,,0 days 03:28:59,2024-03-28 11:14:05,,12539,501
596,2766652046,278069336,2024-03-28 07:45:06,,0 days 02:50:45,2024-03-28 10:35:51,,10245,596
142,9937042182,278213710,2024-03-28 07:45:12,,0 days 03:21:35,2024-03-28 11:06:47,,12095,142
1298,1349551619,278213724,2024-03-28 07:45:15,,0 days 03:31:24,2024-03-28 11:16:39,,12684,1298
862,1349551619,5152214559,2024-03-28 07:45:15,,0 days 02:47:40,2024-03-28 10:32:55,,10060,862
665,1349549442,290917644,2024-03-28 07:45:15,,0 days 03:34:00,2024-03-28 11:19:15,,12840,665
1485,2459675747,2825057903,2024-03-28 07:45:16,,0 days 03:37:35,2024-03-28 11:22:51,,13055,1485
938,1273452261,276630146,2024-03-28 07:45:18,,0 days 01:58:56,2024-03-28 09:44:14,,7136,938
928,5486502622,2065550549,2024-03-28 07:45:19,,0 days 02:43:29,2024-03-28 10:28:48,,9809,928
1170,1273451918,275431688,2024-03-28 07:45:20,,0 days 02:43:06,2024-03-28 10:28:26,,9786,1170
1377,2459675736,325632882,2024-03-28 07:45:21,,0 days 03:05:23,2024-03-28 10:50:44,,11123,1377
534,2459675736,8158364400,2024-03-28 07:45:21,,0 days 04:09:37,2024-03-28 11:54:58,,14977,534
1240,247095954,278194687,2024-03-28 07:45:22,,0 days 03:12:12,2024-03-28 10:57:34,,11532,1240
1582,1273451423,1955798254,2024-03-28 07:45:23,,0 days 04:05:43,2024-03-28 11:51:06,,14743,1582
1360,1349549448,1717735941,2024-03-28 07:45:23,,0 days 02:10:20,2024-03-28 09:55:43,,7820,1360
1380,1349549442,251688941,2024-03-28 07:45:23,,0 days 03:27:06,2024-03-28 11:12:29,,12426,1380
673,2459675736,310654687,2024-03-28 07:45:27,,0 days 03:51:23,2024-03-28 11:36:50,,13883,673
283,5486502623,1352888932,2024-03-28 07:45:27,,0 days 03:40:55,2024-03-28 11:26:22,,13255,283
249,1687862043,207519161,2024-03-28 07:45:30,,0 days 03:50:52,2024-03-28 11:36:22,,13852,249
791,1349549442,261708619,2024-03-28 07:45:31,,0 days 03:11:10,2024-03-28 10:56:41,,11470,791
154,1349551629,289259034,2024-03-28 07:45:32,,0 days 02:43:29,2024-03-28 10:29:01,,9809,154
1560,1273452261,355573626,2024-03-28 07:45:32,,0 days 03:00:49,2024-03-28 10:46:21,,10849,1560
9,1273452224,278069261,2024-03-28 07:45:34,,0 days 02:44:33,2024-03-28 10:30:07,,9873,9
17,1273451401,278213718,2024-03-28 07:45:34,,0 days 03:07:38,2024-03-28 10:53:12,,11258,17
546,1349549448,243783954,2024-03-28 07:45:34,,0 days 03:21:07,2024-03-28 11:06:41,,12067,546
59,2459675747,1139456535,2024-03-28 07:45:35,,0 days 03:22:25,2024-03-28 11:08:00,,12145,59
92,9937042182,9445396383,2024-03-28 07:45:37,,0 days 03:31:15,2024-03-28 11:16:52,,12675,92
198,8017990086,278215724,2024-03-28 07:45:39,,0 days 03:09:31,2024-03-28 10:55:10,,11371,198
1264,247095954,3885154971,2024-03-28 07:45:42,,0 days 03:30:47,2024-03-28 11:16:29,,12647,1264
1583,247095954,3089377794,2024-03-28 07:45:44,,0 days 03:24:41,2024-03-28 11:10:25,,12281,1583
409,1349549448,261675306,2024-03-28 07:45:44,,0 days 03:49:06,2024-03-28 11:34:50,,13746,409
