,origin,destination,treq,tdep,ttrav,tarr,tdrop,dist,pax_id
95,274511626,243362238,2024-03-29 07:45:01,,0 days 02:21:37,2024-03-29 10:06:38,,8497,95
1816,307414955,206373658,2024-03-29 07:45:01,,0 days 02:08:32,2024-03-29 09:53:33,,7712,1816
964,294025348,321781438,2024-03-29 07:45:03,,0 days 02:21:20,2024-03-29 10:06:23,,8480,964
487,307414955,278192367,2024-03-29 07:45:03,,0 days 01:52:37,2024-03-29 09:37:40,,6757,487
1703,262220889,355571341,2024-03-29 07:45:04,,0 days 02:41:39,2024-03-29 10:26:43,,9699,1703
1244,307414955,206373016,2024-03-29 07:45:04,,0 days 02:03:01,2024-03-29 09:48:05,,7381,1244
1040,262221021,595751029,2024-03-29 07:45:05,,0 days 02:44:20,2024-03-29 10:29:25,,9860,1040
546,307414955,3086653125,2024-03-29 07:45:06,,0 days 01:40:52,2024-03-29 09:25:58,,6052,546
728,294025348,355574650,2024-03-29 07:45:07,,0 days 03:12:15,2024-03-29 10:57:22,,11535,728
961,274511626,288604068,2024-03-29 07:45:07,,0 days 01:59:08,2024-03-29 09:44:15,,7148,961
1051,232660185,6949058400,2024-03-29 07:45:07,,0 days 02:21:54,2024-03-29 10:07:01,,8514,1051
1020,2377013550,903113779,2024-03-29 07:45:12,,0 days 02:01:17,2024-03-29 09:46:29,,7277,1020
541,2276829756,932454896,2024-03-29 07:45:12,,0 days 02:27:24,2024-03-29 10:12:36,,8844,541
120,274511626,278198330,2024-03-29 07:45:12,,0 days 02:11:11,2024-03-29 09:56:23,,7871,120
379,274511626,1199353835,2024-03-29 07:45:13,,0 days 02:26:58,2024-03-29 10:12:11,,8818,379
586,2476197746,34806015,2024-03-29 07:45:15,,0 days 02:03:31,2024-03-29 09:48:46,,7411,586
92,232660279,278196774,2024-03-29 07:45:15,,0 days 02:10:23,2024-03-29 09:55:38,,7823,92
1754,307414955,9270082844,2024-03-29 07:45:16,,0 days 02:55:12,2024-03-29 10:40:28,,10512,1754
280,2377013550,10199813029,2024-03-29 07:45:16,,0 days 02:09:57,2024-03-29 09:55:13,,7797,280
1218,307414955,11038038566,2024-03-29 07:45:17,,0 days 02:12:40,2024-03-29 09:57:57,,7960,1218
1812,307414955,4520485715,2024-03-29 07:45:18,,0 days 02:23:41,2024-03-29 10:08:59,,8621,1812
1055,294025348,226019032,2024-03-29 07:45:18,,0 days 01:49:26,2024-03-29 09:34:44,,6566,1055
807,307414955,1946898073,2024-03-29 07:45:19,,0 days 02:11:17,2024-03-29 09:56:36,,7877,807
57,262220889,207511824,2024-03-29 07:45:19,,0 days 02:03:16,2024-03-29 09:48:35,,7396,57
1693,9882648710,1352888907,2024-03-29 07:45:20,,0 days 02:48:07,2024-03-29 10:33:27,,10087,1693
944,9882648710,206376813,2024-03-29 07:45:21,,0 days 02:37:06,2024-03-29 10:22:27,,9426,944
855,2377013550,236129935,2024-03-29 07:45:21,,0 days 02:14:57,2024-03-29 10:00:18,,8097,855
1528,9882648710,261998900,2024-03-29 07:45:22,,0 days 02:47:12,2024-03-29 10:32:34,,10032,1528
361,286050140,277285482,2024-03-29 07:45:26,,0 days 02:36:41,2024-03-29 10:22:07,,9401,361
1724,274511626,206373023,2024-03-29 07:45:27,,0 days 02:13:30,2024-03-29 09:58:57,,8010,1724
948,2476197746,276461247,2024-03-29 07:45:28,,0 days 02:03:20,2024-03-29 09:48:48,,7400,948
1431,933714203,272482353,2024-03-29 07:45:29,,0 days 02:49:01,2024-03-29 10:34:30,,10141,1431
829,2377013550,321460548,2024-03-29 07:45:29,,0 days 02:05:05,2024-03-29 09:50:34,,7505,829
1569,274511626,245422433,2024-03-29 07:45:30,,0 days 02:12:03,2024-03-29 09:57:33,,7923,1569
1742,32067567,278217724,2024-03-29 07:45:31,,0 days 02:13:11,2024-03-29 09:58:42,,7991,1742
112,274511622,281719609,2024-03-29 07:45:31,,0 days 02:12:04,2024-03-29 09:57:35,,7924,112
342,2377013550,1029858674,2024-03-29 07:45:32,,0 days 02:57:08,2024-03-29 10:42:40,,10628,342
570,2276829756,278209567,2024-03-29 07:45:32,,0 days 02:43:04,2024-03-29 10:28:36,,9784,570
649,2476197746,266695294,2024-03-29 07:45:33,,0 days 01:36:13,2024-03-29 09:21:46,,5773,649
634,2377013550,4442891474,2024-03-29 07:45:36,,0 days 02:18:49,2024-03-29 10:04:25,,8329,634
1065,294025348,278217721,2024-03-29 07:45:37,,0 days 02:18:53,2024-03-29 10:04:30,,8333,1065
145,274511626,2056597995,2024-03-29 07:45:37,,0 days 02:22:28,2024-03-29 10:08:05,,8548,145
776,294025348,32122185,2024-03-29 07:45:38,,0 days 02:17:11,2024-03-29 10:02:49,,8231,776
121,294025348,4276933050,2024-03-29 07:45:39,,0 days 01:45:52,2024-03-29 09:31:31,,6352,121
291,262221021,269849525,2024-03-29 07:45:39,,0 days 02:50:41,2024-03-29 10:36:20,,10241,291
893,32067567,278217720,2024-03-29 07:45:42,,0 days 02:13:30,2024-03-29 09:59:12,,8010,893
1378,2306398126,278196771,2024-03-29 07:45:42,,0 days 02:06:10,2024-03-29 09:51:52,,7570,1378
277,9882648710,1289593996,2024-03-29 07:45:44,,0 days 03:11:37,2024-03-29 10:57:21,,11497,277
1363,2377013550,236150723,2024-03-29 07:45:46,,0 days 01:22:49,2024-03-29 09:08:35,,4969,1363
700,274511626,5377964786,2024-03-29 07:45:46,,0 days 02:18:57,2024-03-29 10:04:43,,8337,700
1032,262220889,251767761,2024-03-29 07:45:46,,0 days 02:09:35,2024-03-29 09:55:21,,7775,1032
464,2377013550,288495887,2024-03-29 07:45:46,,0 days 02:05:26,2024-03-29 09:51:12,,7526,464
409,294025348,3655238756,2024-03-29 07:45:46,,0 days 03:15:54,2024-03-29 11:01:40,,11754,409
1099,289010655,5377964784,2024-03-29 07:45:49,,0 days 02:16:41,2024-03-29 10:02:30,,8201,1099
745,307414955,2261513248,2024-03-29 07:45:49,,0 days 02:04:12,2024-03-29 09:50:01,,7452,745
1078,307414955,322850473,2024-03-29 07:45:50,,0 days 02:10:54,2024-03-29 09:56:44,,7854,1078
1003,9882648710,30376958,2024-03-29 07:45:51,,0 days 01:53:26,2024-03-29 09:39:17,,6806,1003
795,2377013550,288495887,2024-03-29 07:45:52,,0 days 02:05:26,2024-03-29 09:51:18,,7526,795
854,262221021,288604063,2024-03-29 07:45:53,,0 days 02:18:24,2024-03-29 10:04:17,,8304,854
1159,286050140,288145420,2024-03-29 07:45:54,,0 days 02:29:57,2024-03-29 10:15:51,,8997,1159
1052,2476197746,288604053,2024-03-29 07:45:54,,0 days 02:01:15,2024-03-29 09:47:09,,7275,1052
1675,294025348,7091921496,2024-03-29 07:45:55,,0 days 02:48:43,2024-03-29 10:34:38,,10123,1675
793,9882648710,3723589970,2024-03-29 07:45:55,,0 days 02:21:56,2024-03-29 10:07:51,,8516,793
3,933714203,272078719,2024-03-29 07:45:55,,0 days 02:49:50,2024-03-29 10:35:45,,10190,3
75,294025348,3625935662,2024-03-29 07:45:56,,0 days 02:18:01,2024-03-29 10:03:57,,8281,75
97,232660150,278189885,2024-03-29 07:45:57,,0 days 01:44:52,2024-03-29 09:30:49,,6292,97
1829,307414955,288604068,2024-03-29 07:45:58,,0 days 01:51:05,2024-03-29 09:37:03,,6665,1829
512,294025348,278209565,2024-03-29 07:46:00,,0 days 02:16:36,2024-03-29 10:02:36,,8196,512
612,307414955,2255634844,2024-03-29 07:46:01,,0 days 02:47:06,2024-03-29 10:33:07,,10026,612
1454,232660279,1658893582,2024-03-29 07:46:01,,0 days 02:24:20,2024-03-29 10:10:21,,8660,1454
123,2276829756,206373016,2024-03-29 07:46:03,,0 days 02:28:27,2024-03-29 10:14:30,,8907,123
1485,307414955,262193738,2024-03-29 07:46:05,,0 days 01:24:56,2024-03-29 09:11:01,,5096,1485
421,307414955,251693559,2024-03-29 07:46:06,,0 days 01:30:32,2024-03-29 09:16:38,,5432,421
1655,274511626,316801040,2024-03-29 07:46:07,,0 days 02:36:45,2024-03-29 10:22:52,,9405,1655
1014,9882648710,321780715,2024-03-29 07:46:07,,0 days 02:27:07,2024-03-29 10:13:14,,8827,1014
184,262220889,275882031,2024-03-29 07:46:08,,0 days 02:50:42,2024-03-29 10:36:50,,10242,184
1788,274511622,272482349,2024-03-29 07:46:09,,0 days 02:21:38,2024-03-29 10:07:47,,8498,1788
362,232660150,280345851,2024-03-29 07:46:09,,0 days 01:54:02,2024-03-29 09:40:11,,6842,362
1086,2377013550,1664172150,2024-03-29 07:46:10,,0 days 02:12:47,2024-03-29 09:58:57,,7967,1086
354,2377013550,6721202633,2024-03-29 07:46:10,,0 days 02:02:49,2024-03-29 09:48:59,,7369,354
450,2377013550,275431688,2024-03-29 07:46:11,,0 days 02:19:54,2024-03-29 10:06:05,,8394,450
1505,2377013550,798566479,2024-03-29 07:46:12,,0 days 02:33:25,2024-03-29 10:19:37,,9205,1505
1108,2276829756,32122186,2024-03-29 07:46:12,,0 days 02:39:19,2024-03-29 10:25:31,,9559,1108
942,2377013550,269852134,2024-03-29 07:46:14,,0 days 02:16:20,2024-03-29 10:02:34,,8180,942
1711,2377013550,321370367,2024-03-29 07:46:15,,0 days 02:13:41,2024-03-29 09:59:56,,8021,1711
844,232660150,288145484,2024-03-29 07:46:17,,0 days 02:17:52,2024-03-29 10:04:09,,8272,844
366,274511626,280888631,2024-03-29 07:46:17,,0 days 02:10:06,2024-03-29 09:56:23,,7806,366
289,307414955,278186359,2024-03-29 07:46:18,,0 days 01:48:51,2024-03-29 09:35:09,,6531,289
1021,2476197746,278213721,2024-03-29 07:46:21,,0 days 02:13:35,2024-03-29 09:59:56,,8015,1021
1098,294025348,262193750,2024-03-29 07:46:23,,0 days 01:41:15,2024-03-29 09:27:38,,6075,1098
1771,274511626,402599851,2024-03-29 07:46:23,,0 days 02:15:46,2024-03-29 10:02:09,,8146,1771
456,32067567,940798692,2024-03-29 07:46:23,,0 days 03:08:02,2024-03-29 10:54:25,,11282,456
422,933714203,1751465807,2024-03-29 07:46:23,,0 days 02:45:39,2024-03-29 10:32:02,,9939,422
780,2377013550,206374873,2024-03-29 07:46:24,,0 days 02:42:45,2024-03-29 10:29:09,,9765,780
871,307414955,251767905,2024-03-29 07:46:25,,0 days 02:00:41,2024-03-29 09:47:06,,7241,871
1683,307414955,5377964784,2024-03-29 07:46:27,,0 days 02:11:04,2024-03-29 09:57:31,,7864,1683
918,274511622,31349978,2024-03-29 07:46:28,,0 days 01:54:36,2024-03-29 09:41:04,,6876,918
1760,294025348,378365965,2024-03-29 07:46:29,,0 days 01:56:33,2024-03-29 09:43:02,,6993,1760
130,2476197726,2065550544,2024-03-29 07:46:29,,0 days 02:34:19,2024-03-29 10:20:48,,9259,130
1727,274511626,245421534,2024-03-29 07:46:30,,0 days 02:04:22,2024-03-29 09:50:52,,7462,1727
213,32067567,288604063,2024-03-29 07:46:31,,0 days 02:02:23,2024-03-29 09:48:54,,7343,213
688,9882648710,32122180,2024-03-29 07:46:33,,0 days 02:14:37,2024-03-29 10:01:10,,8077,688
235,307414955,288621588,2024-03-29 07:46:33,,0 days 02:31:48,2024-03-29 10:18:21,,9108,235
1475,307414955,206377118,2024-03-29 07:46:37,,0 days 02:17:29,2024-03-29 10:04:06,,8249,1475
36,933713190,1747228802,2024-03-29 07:46:38,,0 days 02:26:27,2024-03-29 10:13:05,,8787,36
396,9882648710,355573626,2024-03-29 07:46:38,,0 days 02:39:09,2024-03-29 10:25:47,,9549,396
1702,274511626,262066284,2024-03-29 07:46:38,,0 days 01:36:05,2024-03-29 09:22:43,,5765,1702
127,232660185,288496778,2024-03-29 07:46:40,,0 days 02:02:37,2024-03-29 09:49:17,,7357,127
1097,2276829756,226010076,2024-03-29 07:46:41,,0 days 01:55:55,2024-03-29 09:42:36,,6955,1097
757,2377013550,6643622533,2024-03-29 07:46:42,,0 days 01:44:51,2024-03-29 09:31:33,,6291,757
563,294025348,32122182,2024-03-29 07:46:42,,0 days 02:06:46,2024-03-29 09:53:28,,7606,563
969,262220889,1747228787,2024-03-29 07:46:42,,0 days 02:19:21,2024-03-29 10:06:03,,8361,969
255,286050140,281478097,2024-03-29 07:46:42,,0 days 02:10:02,2024-03-29 09:56:44,,7802,255
1118,294025348,798566520,2024-03-29 07:46:44,,0 days 02:32:53,2024-03-29 10:19:37,,9173,1118
1544,307414955,207469743,2024-03-29 07:46:45,,0 days 01:51:21,2024-03-29 09:38:06,,6681,1544
1270,262220889,1917420265,2024-03-29 07:46:47,,0 days 03:07:51,2024-03-29 10:54:38,,11271,1270
