,origin,destination,treq,tdep,ttrav,tarr,tdrop,dist,pax_id
108,281775926,288604063,2024-03-28 07:45:01,,0 days 02:33:56,2024-03-28 10:18:57,,9236,108
2168,942815903,273483027,2024-03-28 07:45:02,,0 days 02:43:00,2024-03-28 10:28:02,,9780,2168
642,289684438,288604073,2024-03-28 07:45:02,,0 days 02:21:51,2024-03-28 10:06:53,,8511,642
1766,263893392,288604068,2024-03-28 07:45:02,,0 days 02:22:14,2024-03-28 10:07:16,,8534,1766
2304,942815876,1747235694,2024-03-28 07:45:03,,0 days 02:53:44,2024-03-28 10:38:47,,10424,2304
2210,583377730,2065550548,2024-03-28 07:45:03,,0 days 01:30:13,2024-03-28 09:15:16,,5413,2210
80,942815903,5377964784,2024-03-28 07:45:03,,0 days 02:28:31,2024-03-28 10:13:34,,8911,80
352,942815901,322059930,2024-03-28 07:45:04,,0 days 01:42:11,2024-03-28 09:27:15,,6131,352
2053,289684438,251691332,2024-03-28 07:45:05,,0 days 02:43:43,2024-03-28 10:28:48,,9823,2053
116,960515718,8255621876,2024-03-28 07:45:06,,0 days 03:04:18,2024-03-28 10:49:24,,11058,116
1105,942815935,278189887,2024-03-28 07:45:07,,0 days 02:31:27,2024-03-28 10:16:34,,9087,1105
1558,960515718,278192364,2024-03-28 07:45:09,,0 days 02:28:24,2024-03-28 10:13:33,,8904,1558
2294,942815978,1111449272,2024-03-28 07:45:09,,0 days 01:09:11,2024-03-28 08:54:20,,4151,2294
413,289684438,236138978,2024-03-28 07:45:09,,0 days 02:02:41,2024-03-28 09:47:50,,7361,413
873,5625512534,587632534,2024-03-28 07:45:10,,0 days 02:40:20,2024-03-28 10:25:30,,9620,873
611,942815876,277478828,2024-03-28 07:45:10,,0 days 02:38:24,2024-03-28 10:23:34,,9504,611
665,2526523833,236138978,2024-03-28 07:45:10,,0 days 02:30:54,2024-03-28 10:16:04,,9054,665
906,1264455251,278192364,2024-03-28 07:45:11,,0 days 02:28:11,2024-03-28 10:13:22,,8891,906
468,942815903,243362263,2024-03-28 07:45:11,,0 days 02:23:24,2024-03-28 10:08:35,,8604,468
1731,957184305,278198319,2024-03-28 07:45:13,,0 days 02:04:01,2024-03-28 09:49:14,,7441,1731
778,11248021332,1839568819,2024-03-28 07:45:15,,0 days 01:59:02,2024-03-28 09:44:17,,7142,778
1387,957184305,322230278,2024-03-28 07:45:15,,0 days 02:12:15,2024-03-28 09:57:30,,7935,1387
1556,3444983255,2244530713,2024-03-28 07:45:18,,0 days 02:04:49,2024-03-28 09:50:07,,7489,1556
1808,289684438,280600164,2024-03-28 07:45:18,,0 days 00:53:31,2024-03-28 08:38:49,,3211,1808
1042,942815917,1409715142,2024-03-28 07:45:18,,0 days 04:02:11,2024-03-28 11:47:29,,14531,1042
1930,2526523833,933828587,2024-03-28 07:45:19,,0 days 02:40:53,2024-03-28 10:26:12,,9653,1930
496,289684438,470215321,2024-03-28 07:45:21,,0 days 02:04:26,2024-03-28 09:49:47,,7466,496
1113,5625512534,9445396406,2024-03-28 07:45:21,,0 days 02:42:39,2024-03-28 10:28:00,,9759,1113
2263,941399121,288604059,2024-03-28 07:45:21,,0 days 02:39:08,2024-03-28 10:24:29,,9548,2263
1751,11235606322,880670971,2024-03-28 07:45:21,,0 days 02:18:59,2024-03-28 10:04:20,,8339,1751
2065,288049500,278198319,2024-03-28 07:45:22,,0 days 01:53:20,2024-03-28 09:38:42,,6800,2065
1591,942815978,495649040,2024-03-28 07:45:24,,0 days 03:06:55,2024-03-28 10:52:19,,11215,1591
